1、您的性别？,2、您的年龄？,3、您是否了解预制菜？,4、平时就餐您更倾向于选择哪种？,5、您上一题选择此答案的原因是,6、您食用开封后就能吃的即食食品的频率？,7、您食用加热后就能吃的即热食品的频率？,8、您食用还需下锅烹饪才能吃的即烹食品的频率？,9、您购买切好清洗好的肉或蔬菜这种即配食品的频率？,10、预制菜作为近年来餐饮行业发展的一种形式，您能接受的价格为多少？,11、您更倾向通过何种方式购买预制菜,12、如果您选择购买预制菜作为您的正餐，会更注重品牌吗？,13、您听说过或购买过哪些预制菜的品牌？,14、针对预制菜的发展，您认为以下哪个问题急需要被改善或者解决？,15、预制菜的未来还需时间的检验，请您就预制菜的发展提出宝贵的意见和建议。
女,18-25岁,不了解,堂食|买菜做饭,价格实惠|干净卫生|时间上便捷,几乎不,约一个月一次,几乎不,约一个礼拜一次,20-30元|30-40元,电商平台|堂食门店|熟食店,不会，更注重口味。,自嗨锅|海底捞,菜品种类问题|食品安全问题,不太懂诶，不常吃
男,18-25岁,不了解,堂食|打包自提,价格实惠|干净卫生|地点上方便|时间上便捷,几乎不,几乎不,约一个礼拜一次,几乎每天,20-30元,生鲜超市|熟食店,不会，更注重口味。,自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
女,18-25岁,不了解,堂食,价格实惠|干净卫生|时间上便捷,约一个月一次,约一个月一次,几乎不,几乎不,20-30元,电商平台,会，大品牌放心可靠。,自嗨锅|西贝|海底捞,菜品种类问题|食品安全问题,无
男,18-25岁,了解,堂食|外卖|买菜做饭,口味多样|地点上方便|时间上便捷,几乎不,约一个月一次,几乎每天,几乎每天,10-20元|20-30元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|西贝|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,注重食品安全
女,18-25岁,不了解,堂食|外卖,价格实惠|口味多样|地点上方便|时间上便捷,几乎每天,几乎不,几乎不,几乎不,40元及以上,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,价格问题|食品安全问题|购买配送问题,价格，市场，食品安全等方面吧，我不太了解。
女,18-25岁,不了解,堂食|打包自提|买菜做饭,干净卫生|地点上方便|时间上便捷,约一个月一次,几乎不,几乎每天,几乎不,20-30元|30-40元,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|西贝|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题,食品安全是第一要素
男,18-25岁,不了解,堂食,价格实惠,几乎每天,几乎不,几乎不,几乎不,10-20元,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,食品安全问题,里面多整点儿肉
女,18-25岁,不了解,堂食|外卖|方便面类食品,口味多样|时间上便捷,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个月一次,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,正大|自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
女,18-25岁,不了解,堂食,价格实惠,几乎不,几乎不,几乎不,几乎不,10-20元,熟食店,会，大品牌放心可靠。,海底捞,食品安全问题,无
男,18-25岁,不了解,堂食|外卖,价格实惠|干净卫生,几乎每天,约一个月一次,几乎不,约一个月一次,10-20元,堂食门店|熟食店,不会，更注重口味。,正大|自嗨锅|京东生鲜,食品安全问题|购买配送问题,无
